(0, 0, 0, 314.8889, 6456627, 993161, 2129841)
(1, 0, 1, 787.2222, 4416593, 2224447, 4770343)
(2, 0, 2, 1259.5555, 1193136, 2859694, 6132635)
(3, 0, 3, 1731.8889, -2350020, 2728688, 5851692)
(4, 0, 4, 2204.2222, -5263491, 1866533, 4002793)
(5, 0, 5, 2676.5557, -6766614, 504241, 1081349)
(6, 0, 6, 3148.889, -6456627, -993161, -2129841)
(7, 0, 7, 3621.2222, -4416593, -2224447, -4770343)
(8, 0, 8, 4093.5557, -1193136, -2859694, -6132635)
(9, 0, 9, 4565.8887, 2350020, -2728688, -5851692)
(10, 0, 10, 5038.222, 5263491, -1866533, -4002793)
(11, 0, 11, 5510.5557, 6766614, -504241, -1081349)
(12, 1, 0, 0., -3435499, 5950460, 0)
(13, 1, 1, 472.33334, -4232616, 4427297, 3113620)
(14, 1, 2, 944.6667, -3895607, 1717843, 5392948)
(15, 1, 3, 1417., -2514773, -1451905, 6227240)
(16, 1, 4, 1889.3334, -460107, -4232616, 5392948)
(17, 1, 5, 2361.6667, 1717843, -5879202, 3113620)
(18, 1, 6, 2834., 3435499, -5950460, 0)
(19, 1, 7, 3306.3333, 4232616, -4427297, -3113620)
(20, 1, 8, 3778.6667, 3895607, -1717843, -5392948)
(21, 1, 9, 4251., 2514773, 1451905, -6227240)
(22, 1, 10, 4723.3335, 460107, 4232616, -5392948)
(23, 1, 11, 5195.6665, -1717843, 5879202, -3113620)
(24, 2, 0, 157.44444, -2946621, -6112180, 1081349)
(25, 2, 1, 629.7778, -1015280, -5491583, 4002793)
(26, 2, 2, 1102.1111, 1188103, -3399521, 5851692)
(27, 2, 3, 1574.4445, 3073136, -396560, 6132635)
(28, 2, 4, 2046.7778, 4134724, 2712658, 4770343)
(29, 2, 5, 2519.111, 4088417, 5095023, 2129841)
(30, 2, 6, 2991.4443, 2946621, 6112180, -1081349)
(31, 2, 7, 3463.7778, 1015280, 5491583, -4002793)
(32, 2, 8, 3936.111, -1188103, 3399521, -5851692)
(33, 2, 9, 4408.4443, -3073136, 396560, -6132635)
(34, 2, 10, 4880.778, -4134724, -2712658, -4770343)
(35, 2, 11, 5353.1113, -4088417, -5095023, -2129841)
